work_year,job_title,job_category,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_euros
2023,Data Analyst,Data Analysis,United States,Mid-level,Full-time,Remote,United States,M,82800
2023,Data Analyst,Data Analysis,United States,Mid-level,Full-time,Remote,United States,M,64400
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,183080
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,149040
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,Remote,United States,M,157213
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,Remote,United States,M,104809
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,169280
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,113160
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,216890
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,160310
2023,Research Scientist,Data Science and Research,United States,Mid-level,Full-time,Remote,United States,M,151800
2023,Research Scientist,Data Science and Research,United States,Mid-level,Full-time,Remote,United States,M,109296
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,Remote,United States,M,207000
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,Remote,United States,M,138000
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,196788
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,107456
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,202400
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,138000
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,138000
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,92000
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,227700
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,158424
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,142600
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,110400
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,208564
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,122636
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,169280
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,113160
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,119600
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,107640
2023,Data Science Engineer,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,147200
2023,Data Science Engineer,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,128800
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,152720
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,67160
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,171028
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,118956
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,119600
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,95680
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,Remote,United States,M,131560
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,Remote,United States,M,106720
2023,Research Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,202400
2023,Research Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,165600
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,197800
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,184000
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,232760
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,120520
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,202400
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,161920
2023,Data Quality Analyst,Data Quality and Operations,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M,45278
2023,Data Quality Analyst,Data Quality and Operations,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M,33959
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,193200
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,135240
2023,Data Product Manager,Leadership and Management,United States,Mid-level,Full-time,In-person,United States,M,171120
2023,Data Product Manager,Leadership and Management,United States,Mid-level,Full-time,In-person,United States,M,148120
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,188600
2023,Data Engineer,Data Engineering,Canada,Mid-level,Full-time,Remote,Canada,M,202400
2023,Data Engineer,Data Engineering,Canada,Mid-level,Full-time,Remote,Canada,M,174800
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,Remote,United States,M,126040
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,Remote,United States,M,101200
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,158240
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,134320
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,136160
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,91080
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,138000
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,In-person,United States,M,96600
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,91080
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,48300
2023,Machine Learning Scientist,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,166072
2023,Machine Learning Scientist,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,99643
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,193200
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,135240
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,267076
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,180950
2023,AI Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,202400
2023,AI Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,161920
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,161000
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,119600
2023,Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,In-person,United States,M,170200
2023,Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,In-person,United States,M,138000
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,133400
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,105800
2023,MLOps Engineer,Machine Learning and AI,United States,Entry-level,Full-time,In-person,United States,M,122360
2023,MLOps Engineer,Machine Learning and AI,United States,Entry-level,Full-time,In-person,United States,M,53636
2023,Analytics Engineer,Leadership and Management,United States,Senior,Full-time,In-person,United States,M,105800
2023,Analytics Engineer,Leadership and Management,United States,Senior,Full-time,In-person,United States,M,87400
2023,Data Engineer,Data Engineering,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,101424
2023,Data Engineer,Data Engineering,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,36222
2023,Data Scientist,Data Science and Research,Spain,Entry-level,Full-time,In-person,Spain,M,39732
2023,Data Scientist,Data Science and Research,Spain,Entry-level,Full-time,In-person,Spain,M,28805
2023,Data Analyst,Data Analysis,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M,84897
2023,Data Analyst,Data Analysis,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M,62258
2023,Data Scientist,Data Science and Research,Ireland,Senior,Full-time,Hybrid,Ireland,L,69530
2023,Deep Learning Engineer,Machine Learning and AI,Canada,Senior,Full-time,Remote,Canada,M,279116
2023,Deep Learning Engineer,Machine Learning and AI,Canada,Senior,Full-time,Remote,Canada,M,92015
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,211876
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,128800
2023,Data Engineer,Data Engineering,South Africa,Senior,Full-time,In-person,South Africa,M,114940
2023,Data Engineer,Data Engineering,South Africa,Senior,Full-time,In-person,South Africa,M,69966
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,206816
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,120612
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,237360
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,157320
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,180320
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,111320
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,180136
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,157780
2023,Data Modeler,Data Architecture and Modeling,United States,Mid-level,Full-time,In-person,United States,M,152720
2023,Data Modeler,Data Architecture and Modeling,United States,Mid-level,Full-time,In-person,United States,M,67252
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,202400
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,147200
2023,Data Scientist,Data Science and Research,United States,Entry-level,Full-time,In-person,United States,M,78200
2023,Data Scientist,Data Science and Research,United States,Entry-level,Full-time,In-person,United States,M,59800
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,202400
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,92000
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,170200
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,139840
2023,Data Scientist,Data Science and Research,Spain,Senior,Full-time,In-person,Spain,M,44698
2023,Data Scientist,Data Science and Research,Spain,Senior,Full-time,In-person,Spain,M,35758
2023,Research Engineer,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,202400
2023,Research Engineer,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,92000
2023,Data Analyst,Data Analysis,Poland,Senior,Full-time,Remote,Poland,M,101200
2023,Data Analyst,Data Analysis,Poland,Senior,Full-time,Remote,Poland,M,73600
2023,Data Analyst,Data Analysis,United Kingdom,Senior,Full-time,Remote,United Kingdom,S,33959
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,138184
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,65320
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,153824
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,122360
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,53728
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,124200
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,101200
2023,Data Product Owner,Leadership and Management,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,96217
2023,Data Product Owner,Leadership and Management,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,67918
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,172421
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,104953
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,152720
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,67252
2023,Machine Learning Engineer,Machine Learning and AI,Canada,Senior,Full-time,In-person,Canada,M,281888
2023,Machine Learning Engineer,Machine Learning and AI,Canada,Senior,Full-time,In-person,Canada,M,155204
2023,Data Analyst,Data Analysis,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M,30336
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,Remote,United States,M,151800
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,Remote,United States,M,128800
2023,Analytics Engineer,Leadership and Management,United States,Mid-level,Full-time,Remote,United States,M,138000
2023,Data Analyst,Data Analysis,United States,Mid-level,Full-time,In-person,United States,M,153640
2023,Data Analyst,Data Analysis,United States,Mid-level,Full-time,In-person,United States,M,111320
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,174984
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,87492
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,In-person,United States,M,122360
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,In-person,United States,M,53728
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,Remote,United States,M,82800
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,Remote,United States,M,64400
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,67252
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,124200
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,92000
2023,Data Engineer,Data Engineering,United Kingdom,Senior,Full-time,Remote,United Kingdom,M,166072
2023,Data Engineer,Data Engineering,United Kingdom,Senior,Full-time,Remote,United Kingdom,M,99643
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,270480
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,176640
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,244720
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,153640
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,184000
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,138000
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,Remote,United States,M,150696
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,Remote,United States,M,81144
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,165968
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,127696
2023,Data Analyst,Data Analysis,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,62258
2023,Data Analyst,Data Analysis,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,50938
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,293480
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,189520
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,197800
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,130640
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,244720
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,153640
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,128919
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,78080
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,164036
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,96968
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,197800
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,130640
2023,Research Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,220800
2023,Research Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,193200
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,138000
2023,Data Science Consultant,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,106720
2023,Data Science Consultant,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,82800
2023,Data Science Consultant,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,133400
2023,Data Science Consultant,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,117760
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,Remote,United States,M,141680
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,Remote,United States,M,115920
2023,Machine Learning Scientist,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,220800
2023,Machine Learning Scientist,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,144670
2023,Data Engineer,Data Engineering,United States,Executive,Full-time,Remote,United States,M,202078
2023,Data Engineer,Data Engineering,United States,Executive,Full-time,Remote,United States,M,125120
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,Remote,United States,M,165600
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,Remote,United States,M,115000
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,L,227792
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,L,117116
