work_year,job_title,job_category,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_euros,cost_of_living,purchasing_power,job_field
2023,Data Engineer,Data Engineering,United Kingdom,Senior,Full-time,Remote,United Kingdom,M,99643,144.03,691.82,Data Engineering
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,270480,143.34,1886.98,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,176640,143.34,1232.31,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,244720,143.34,1707.27,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,153640,143.34,1071.86,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,184000,143.34,1283.66,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,138000,143.34,962.75,Data Science
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,Remote,United States,M,150696,143.34,1051.32,Data Analysis
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,Remote,United States,M,81144,143.34,566.09,Data Analysis
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,165968,143.34,1157.86,Data Analysis
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,In-person,United States,M,127696,143.34,890.86,Data Analysis
