"country","NumbeoCoL2023","NumbeoCoLPlusRent2023","costOfLivingLC","costOfLivingByCountry_cl_expatistan","costOfLivingByCountry_cl_globalEcon","NumbeoLocalPurchasingPowerIndex2023"
"Mongolia",32.3,22.4,603,,51.32,21.9
"Uruguay",61,39.7,929,134,124.24,40.6
"Moldova",35.9,23.1,537,56,49.48,34
"Puerto Rico",68.5,47.5,,,,55.9
"Bosnia and Herzegovina",,,599,84,64.74,
"Gambia",,,520,,46.48,
"Albania",40.4,25.7,608,,60.79,28.3
"Jamaica",54.4,35.2,829,,78.85,27.8
"Armenia",43.1,34.2,592,,49.68,28
"Qatar",59.3,52.6,1856,181,113.61,120.2
"Botswana",31.9,20,666,76,69.39,61.9
"Lithuania",49.9,34.3,869,105,79.09,54.8
"Namibia",31.4,21.5,921,,74.28,47.7
"Gabon",,,587,,78.6,
"Lesotho",,,694,,56.38,
"Guinea-Bissau",,,712,,57.18,
"Slovenia",51.6,35.5,1175,119,103.47,59.6
"North Macedonia",32.5,19.8,553,,58.3,35.9
"Latvia",51,32,938,,89.68,50.3
"Equatorial Guinea",,,1185,,74.93,
"Trinidad and Tobago",,,979,,89.05,
"Bahrain",56,40.5,1165,141,77.81,78.1
"Estonia",55.9,37,1040,106,96.58,62.7
"Mauritius",41,26.8,651,95,74.87,28.6
"Cyprus",59.2,44.4,1266,,108.2,52.6
"Eswatini",,,711,,65.77,
"Djibouti",,,548,,84.48,
"Fiji",34.9,25.6,773,96,68.38,68.8
"Comoros",,,589,,70.11,
"Guyana",47.9,30.5,803,93,78.11,20
"Bhutan",,,569,,45.07,
"Solomon Islands",,,1222,,,
"Macau",65,49.6,,,,78.7
"Luxembourg",71.7,59.3,2163,165,156.4,133.2
"Suriname",,,714,,55.71,
"Montenegro",42.4,29.7,720,,67.81,38.2
"Cape Verde",,,797,,69.79,
"Malta",59.4,43.7,1519,148,101.71,51.7
"Maldives",53.4,39.9,1288,,91.24,33.8
"Brunei",54.2,36,1152,,72.31,73.5
"Belize",50,31.2,889,,105.86,44.2
"Bahamas",93.7,68.5,1715,232,158.09,37.4
"Iceland",87.7,64.7,2207,,209.1,100.4
"Vanuatu",,,1829,,,
"Barbados",84.2,53.8,1258,157,169.9,34.3
"Sao Tome and Principe",,,880,,70.92,
"Samoa",,,1109,,,
"Curacao",,,1222,,,
"Saint Lucia",,,1153,,110.38,
"Kiribati",,,511,,,
"Grenada",,,1128,,95.54,
